ID;Fuente;Titular;Copete/Resumen;Cuerpo;Amarillista;Falsa
1;Max Planck Institute;Encuentran compuestos org†nicos complejos en el Sol;Nueva evidencia sugiere qu°mica inesperada;Cient°ficos del Max Planck Institute han detectado compuestos org†nicos complejos en la atm¢sfera del Sol, lo que podr°a indicar procesos qu°micos hasta ahora desconocidos.;0;1
2;Panasonic;Panasonic desarrolla bater°a que carga en menos de 10 minutos;Podr°a revolucionar los dispositivos m¢viles;Panasonic ha anunciado una nueva bater°a que se carga completamente en menos de 10 minutos, prometiendo transformar la industria de la electr¢nica m¢vil.;0;1
3;DeepMind;DeepMind crea modelo de IA para predicci¢n de terremotos;Promete mejorar las alertas de desastres naturales;DeepMind ha desarrollado un modelo de inteligencia artificial que mejora la precisi¢n en la predicci¢n de terremotos, utilizando aprendizaje profundo y vastos datos hist¢ricos.;0;1
4;European Space Agency;ESA estudia nuevo fen¢meno de energ°a en el espacio;Podr°a alterar la comprensi¢n del universo;La Agencia Espacial Europea (ESA) ha detectado un fen¢meno energÇtico desconocido en el espacio que podr°a desafiar las teor°as actuales del cosmos.;0;1
5;Boston Dynamics;Boston Dynamics prueba robots que responden a emociones humanas;Nuevos avances en interacci¢n humano-robot;Boston Dynamics ha presentado robots que pueden responder adecuadamente a las emociones humanas, representando un paso significativo en la rob¢tica interactiva.;0;1
6;Carbon Engineering;Carbon Engineering logra convertir CO2 en roca en 24 horas;Nuevo mÇtodo para combatir el cambio clim†tico;Carbon Engineering ha desarrollado una tecnolog°a que solidifica el di¢xido de carbono atmosfÇrico en roca en solo 24 horas, ofreciendo un mÇtodo prometedor para la captura de carbono.;0;1
7;Neuralink;Neuralink desarrolla interfaz para controlar dispositivos con la mente;Avances significativos en tecnolog°a cerebral;Neuralink ha anunciado una interfaz cerebro-computadora que permite controlar dispositivos electr¢nicos con solo pensamientos, marcando un hito en la neurotecnolog°a.;0;1
8;SETI Institute;SETI captura se§ales de radio an¢malas;Posible nueva pista en la b£squeda de vida extraterrestre;El SETI Institute ha capturado se§ales de radio que no coinciden con patrones conocidos de fuentes naturales, lo que ha despertado interÇs sobre su posible origen extraterrestre.;0;1
9;Microsoft Research;Microsoft predice tendencias laborales con IA;Nueva herramienta para planificaci¢n de carreras;Microsoft Research ha lanzado un algoritmo de IA que predice con gran precisi¢n las tendencias laborales y ayuda en la planificaci¢n de carreras profesionales.;0;1
10;Sony;Sony introduce papel electr¢nico regrabable;Papel digital que se puede usar repetidamente;Sony ha presentado un nuevo tipo de papel electr¢nico que permite escribir y borrar texto varias veces, prometiendo revolucionar c¢mo interactuamos con los medios impresos.;0;1
11;IBM;IBM anuncia avance en computaci¢n cu†ntica;Nuevo chip cu†ntico promete superar supercomputadoras;IBM ha revelado un nuevo chip cu†ntico que, seg£n afirman, puede realizar c†lculos m†s all† de las capacidades de las supercomputadoras actuales, marcando un hito en la industria.;0;1
12;Google;Google desarrolla algoritmo que detecta enfermedades a travÇs de la voz;Tecnolog°a podr°a revolucionar el diagn¢stico mÇdico;Google ha desarrollado un nuevo algoritmo de IA que puede identificar potenciales enfermedades solo a travÇs del an†lisis de la voz de una persona, prometiendo transformar el diagn¢stico mÇdico temprano.;0;1
13;SpaceX;SpaceX planea misi¢n a Ceres en busca de agua;El objetivo es investigar posibles asentamientos humanos;SpaceX ha anunciado planes para una misi¢n no tripulada a Ceres, centrada en la b£squeda de agua y evaluaci¢n de su viabilidad para futuros asentamientos humanos.;0;1
14;Intel;Intel introduce memoria que aprende como el cerebro humano;Nueva tecnolog°a imita la neuroplasticidad;Intel ha lanzado una nueva forma de memoria de computadora que imita la neuroplasticidad del cerebro humano, permitiendo a las m†quinas aprender y adaptarse con el tiempo.;0;1
15;Amazon;Amazon patenta drones que plantan †rboles;Nueva estrategia para combatir la deforestaci¢n;Amazon ha recibido la patente de un sistema de drones dise§ado para plantar †rboles autom†ticamente, como parte de su iniciativa para combatir la deforestaci¢n global.;0;1
16;MIT;MIT descubre material que limpia el aire;Nuevo compuesto absorbe contaminantes efectivamente;Investigadores del MIT han desarrollado un material que puede absorber y neutralizar contaminantes del aire de manera m†s efectiva que los mÇtodos actuales, ofreciendo nuevas esperanzas para ciudades m†s limpias.;0;1
17;Samsung;Samsung crea pantalla que se repara sola;Tecnolog°a podr°a eliminar la necesidad de protectores de pantalla;Samsung ha introducido una nueva tecnolog°a de pantalla que puede reparar autom†ticamente rasgu§os y grietas, extendiendo significativamente la vida £til de los dispositivos m¢viles.;0;1
18;NASA;NASA detecta se§ales de posibles ocÇanos subterr†neos en EncÇlado;Podr°an ser h†bitats para la vida;La NASA ha informado que nuevas se§ales indican la presencia de ocÇanos subterr†neos en EncÇlado, una de las lunas de Saturno, lo que podr°a ser clave para la b£squeda de vida extraterrestre.;0;1
19;Facebook;Facebook introduce traductor universal en tiempo real;Nuevo servicio facilita la comunicaci¢n global;Facebook ha lanzado un nuevo servicio de traducci¢n en tiempo real que permite a los usuarios comunicarse en cualquier idioma instant†neamente, eliminando barreras lingÅ°sticas en las redes sociales.;0;1
20;Tesla;Tesla desarrolla nueva tecnolog°a de carga solar directa para veh°culos;Innovaci¢n podr°a acabar con la dependencia de estaciones de carga;Tesla ha anunciado el desarrollo de una tecnolog°a que permite a los veh°culos elÇctricos cargarse directamente desde la luz solar, potencialmente revolucionando el mercado de veh°culos elÇctricos.;0;1
21;Johns Hopkins University;Investigadores desarrollan vacuna contra el Alzheimer;Promete ser un avance significativo en la medicina;Cient°ficos de Johns Hopkins University han desarrollado una vacuna que, en pruebas preliminares, parece prevenir la progresi¢n del Alzheimer en modelos animales.;0;1
22;Nokia;Nokia lanza red 6G experimental;Promete velocidades de internet ultrarr†pidas;Nokia ha anunciado el lanzamiento de una red 6G experimental que, seg£n informes, puede alcanzar velocidades hasta diez veces superiores a las de 5G, abriendo nuevas posibilidades en comunicaciones m¢viles.;0;1
23;Adobe;Adobe introduce IA que dise§a logos;Nueva herramienta promete revolucionar el dise§o gr†fico;Adobe ha lanzado un nuevo software basado en inteligencia artificial que puede dise§ar logos £nicos y creativos en segundos, dirigido a facilitar el trabajo de dise§adores gr†ficos.;0;1
24;Blue Origin;Blue Origin anuncia hotel orbital para 2025;Turismo espacial a punto de convertirse en realidad;Blue Origin ha revelado planes para construir un hotel orbital que estar°a listo para recibir a turistas espaciales en 2025, prometiendo una experiencia £nica fuera de este mundo.;0;1
25;Sony;Sony desarrolla c†mara que ve a travÇs de paredes;Nueva tecnolog°a podr°a tener aplicaciones en seguridad y rescate;Sony ha presentado una nueva c†mara que utiliza tecnolog°a avanzada de infrarrojos para ver a travÇs de paredes, destinada a mejorar operaciones de rescate y seguridad.;0;1
26;University of Cambridge;Cambridge descubre bacteria que come pl†stico;Podr°a ayudar a resolver la crisis de contaminaci¢n por pl†stico;Cient°ficos de la University of Cambridge han descubierto una bacteria que puede descomponer r†pidamente los pl†sticos comunes, ofreciendo una posible soluci¢n a la contaminaci¢n global.;0;1
27;Apple;Apple patenta tecnolog°a de realidad aumentada para cirug°as;Promete mejorar la precisi¢n quir£rgica;Apple ha patentado una nueva tecnolog°a de realidad aumentada dise§ada para asistir a cirujanos durante procedimientos, aumentando la precisi¢n y seguridad en operaciones complejas.;0;1
28;University of Tokyo;Descubren mÇtodo para convertir CO2 en combustible l°quido;Innovaci¢n podr°a cambiar la industria energÇtica;Investigadores de la University of Tokyo han desarrollado un mÇtodo para convertir di¢xido de carbono en combustible l°quido, utilizando energ°a solar, lo que podr°a revolucionar la industria energÇtica.;0;1
