Id,Link,Source,Titular,Copete,Cuerpo,Amarillismo,Falsa
60,https://www.huffingtonpost.com.mx/entry/lsd-brain-scans-effects_us_570e5e8ae4b03d8b7b9ef83c,HUFFPOST,"He aquí, los primeros escáneres cerebrales de los efectos que alteran la mente del LSD",,"He aquí, los primeros escáneres cerebrales de los efectos que alteran la mente del LSD
 Las imágenes muestran cómo la droga psicodélica crea una mente más ""unificada"".
 El LSD, una vez un fármaco hippie demonizado , ha evolucionado desde hace años hacia una herramienta de psicoterapia clínicamente validada y un truco de productividad de Silicon Valley . Y esta semana, alcanzó un hito importante.
 En un estudio histórico publicado el lunes en la revista Proceedings de la Academia Nacional de Ciencias, los primeros escáneres cerebrales modernos de personas que se tropiezan con LSD ilustran las bases neuronales de los poderosos efectos que alteran la conciencia de la droga psicodélica. La investigación, que fue realizada por Beckley / Imperial Research Program en el Reino Unido, demostró que el LSD reduce la conectividad dentro de las redes cerebrales y aumenta la conectividad entre las redes cerebrales que normalmente no interactúan. ""Normalmente nuestro cerebro consiste en redes independientes que realizan funciones especializadas separadas, como visión, movimiento y audición, así como también cosas más complejas como la atención"", dijo el Dr. Robin Carhart-Harris, un investigador psicodélico del Imperial College London y uno de los autores del estudio, dijeron en un comunicado . ""Sin embargo, bajo LSD, la separación de estas redes se rompe y en su lugar se ve un cerebro más integrado o unificado"".
 Carhart-Harris y sus colegas escanearon los cerebros de *NUMBER* voluntarios sanos en el curso de una sesión de LSD de seis horas después de haber sido inyectados con una dosis alta del medicamento. Dos tipos de escáneres cerebrales (imágenes por resonancia magnética funcional, o IRMf y magnetoencefalografía) midieron la actividad cerebral al detectar cambios en el flujo sanguíneo y cambios en las corrientes eléctricas.
 Mientras sus cerebros fueron escaneados, los participantes realizaron una variedad de pruebas cognitivas. Las exploraciones cerebrales de los voluntarios con LSD se compararon más tarde con los escáneres cerebrales de *NUMBER* voluntarios que habían recibido un placebo. Las exploraciones de los receptores de LSD revelaron un estado cerebral ""no del todo diferente"" a la psicosis, en la que las redes cerebrales que normalmente están separadas se comunican entre sí. En particular, la corteza visual se comunicó mucho más con otras partes del cerebro, lo que explica las alucinaciones vívidas ya menudo con carga emocional experimentadas por muchos usuarios de LSD.
 ¿Cómo se siente un cerebro más ""unificado""? Según Carhart-Harris, implica un pensamiento más fluido y flexible, asociaciones y percepciones inusuales, visiones vívidas y tal vez una mayor creatividad.
 Nuestro pensamiento en la infancia comienza siendo más fluido y flexible, y tiende a hacerse más rígido y centrado a medida que envejecemos, dijeron los investigadores. El LSD, entonces, podría ayudar a algunos usuarios a regresar a un sentido infantil de asombro e imaginación. ""Básicamente tienes un estado que es fundamentalmente plástico"", dijo Carhart-Harris a The Huffington Post. ""Has aumentado el calor en el sistema, como un sólido que comienzas a derretir, y se está volviendo más plástico, flexible y maleable"".
 La conectividad cerebral mejorada observada por los investigadores también ofrece pistas sobre los cambios cerebrales asociados con la ""disolución del ego"": la sensación de perder el sentido normal de uno mismo y reconectarse con uno mismo, los demás y el mundo de una manera más profunda. La disolución del ego es una experiencia común para los usuarios de psicodélicos que toman medicamentos como el LSD y la psilocibina en dosis moderadas a altas. Para ayudar a los excursionistas a navegar la experiencia de la muerte del ego, el famoso psicólogo estadounidense Dr. Timothy Leary, junto con Ralph Metzner y Ram Dass, publicó en *NUMBER* una guía para viajeros psicodélicos inspirados en el Libro tibetano de los muertos .
 Si bien los neurocientíficos han desarrollado una sólida comprensión de cómo el LSD actúa sobre los receptores de serotonina en el cerebro, han sido menos claros sobre cómo estos cambios químicos conducen a profundos cambios en la conciencia, como los descritos por Leary. Los hallazgos de Beckley / Imperial agregan peso a un creciente cuerpo de investigación sobre los efectos neurológicos y los beneficios terapéuticos de los psicodélicos. Si bien la mayoría de las investigaciones existentes se han llevado a cabo en animales y se necesitan más ensayos en humanos, los estudios han demostrado que la psicoterapia asistida con LSD es prometedora para el tratamiento de la depresión , la adicción y la ansiedad al final de la vida . En términos más generales, el nuevo estudio ofrece una lente a través de la cual comprender mejor la conciencia como un todo. ""Estudiar cómo las drogas psicodélicas como el LSD alteran el estado cerebral 'normal' es una forma de estudiar el fenómeno biológico que es la conciencia"", dijo a Nature el Dr. David Nutt, profesor de neuropsicofarmacología en Imperial y autor principal del estudio . ""En última instancia, también nos gustaría ver el uso del LSD como una herramienta terapéutica"".",No Amarillista,Verdadera
61,https://elpais.com/economia/2017/10/23/actualidad/1508777467_842230.html,El país,Coches eléctricos,,"Coches eléctricos
 Es urgente revisar los incentivos para la promoción de vehículos de cero emisiones
 Es una de las muertes más inspiradoras del cine. La despedida de la vida del replicante Batty en el primer Blade Runner. Las lágrimas de Rutger Hauer son un contrapunto a su propia existencia feroz. ""He visto cosas que no creeríais…"". En aquella película de *NUMBER* se imaginaba un *NUMBER* distópico en el que, sin embargo, se veían coches volar ¿Puede un automóvil ser un elemento de inspiración social y de cambio?
 Ahora vemos lo que está pasando en Cataluña, o en Reino Unido. Y otras muchas cosas que no creeríamos si alguien nos las hubiera contado hace años. Merece la pena tomar aire y pensar en otras que, aunque con menor urgencia informativa, pueden servirnos para crear un mundo mejor.
 En estas innovaciones que resulta difícil aprehender en un término tan limitado como ""digitalización"", los vehículos eléctricos son particularmente apasionantes. Nuevas relaciones productivas, laborales y sociales en las que, a veces, lo importante no es el producto o el servicio sino el canal o el soporte. La satisfacción no está ya en lo que disfrutamos sino en cómo lo hacemos. No se trata de los coches sino lo que los mueve. Dejarnos llevar por una conducción autónoma, más segura y libre de emisiones.
 Una empresa propició cambios en los ordenadores personales hace cuarenta años y, tras múltiples vicisitudes, resurgió a la vanguardia para ofrecer bastante más que equipos de sobremesa. Muchos problemas en la producción, en la protección de patentes, en la salida al mercado pero… finalmente, el triunfo de una idea. Otra empresa lidera la tecnología para el vehículo eléctrico, pero ofrece sueños más allá de él. Trabajando para acelerar la transición global a energías sostenibles, muestra logros reales y la promesa de lo que puede venir ""conducen"" a una realidad sostenible y avanzada.
 En una ciudad como París no habrá automóviles impulsados por gasoil circulando por los Campos Elíseos más allá de *NUMBER* ni con gasolina después de *NUMBER*. En España se avanza con mucho retraso en este terreno, algo muy preocupante, con un porcentaje de matriculaciones relativamente reducido y con unos valores de contaminación en ciudad que sobrepasan los permitidos a escala europea. Es urgente revisar los incentivos para la promoción de vehículos de cero emisiones en nuestro país, como también revisar la fiscalidad del automóvil para desincentivar los vehículos más contaminantes.
 Son cada vez más las marcas —aunque con desarrollo desigual— que se suman lentamente a la automoción eléctrica. La innovación se centra en la conducción autónoma y la seguridad en la circulación. La UE ultima, de hecho, un desarrollo normativo para favorecer algunas transformaciones —multiplicando, por ejemplo, los puntos de recarga— en el territorio comunitario.
 Estas innovaciones conllevan una disrupción en el mercado trabajo donde habrá retos y oportunidades. Se trata de empresas que son factorías de ideas, con una tremenda integración vertical. Donde un fusible puede ser el tema de discusión o el problema que debe resolverse y en el que ponen su concentración cientos de mentes a la vez. Donde se comparte una esperanza.",No Amarillista,Verdadera
62,https://elpais.com/elpais/2018/01/30/ciencia/1517298321_409999.html,El país,Superluna azul con eclipse y luna de sangre: cuatro fenómenos en uno,,"Superluna azul con eclipse y luna de sangre: cuatro fenómenos en uno
 Este *NUMBER* de enero hemos podido disfrutar de la segunda superluna de este *NUMBER*. Después de la primera, que fue la madrugada del *NUMBER* al *NUMBER* de enero, la noche del martes *NUMBER* al miércoles *NUMBER* hemos observado este fenómeno astronómico. Pero la superluna solo es uno de los cuatro fenómenos que se producen a la vez este *NUMBER* de enero: también habrá un eclipse lunar, una luna de sangre y una luna azul.
 Esta coincidencia no se da desde hace *NUMBER* años, por lo que esta superluna es bastante especial: la última vez que tuvo lugar este fenómeno extraordinario fue en *NUMBER*, y la próxima vez que ocurra será el *NUMBER* de enero de *NUMBER*.
 Superluna
 La órbita de la Luna es elíptica, y un lado (apogeo) está unos *NUMBER* km. más alejado de la Tierra que el otro más cercano (perigeo). Por lo tanto, a lo largo de los *NUMBER* días de ciclo lunar, el satélite se encuentra a veces más cerca de nosotros que otras. La superluna ocurre cuando el momento de máximo acercamiento es, además, el momento en el que hay luna llena. A simple vista podemos apreciarla entre un *NUMBER*% y un *NUMBER*% más grande de lo habitual.
 Luna azul
 Se considera que una luna llena es una ""luna azul"" cuando se producen dos lunas llenas en un mismo mes. Como este mes de enero ya tuvimos una luna llena a principio de mes (otra superluna entre el *NUMBER* y el *NUMBER* de enero) esta segunda luna llena ha sido, además, una ""luna azul"".
 Eclipse lunar
 Además este *NUMBER* de enero se produce un tercer fenómeno, menos común que la superluna y la luna azul: a Tierra, el Sol y la Luna se alinean, dando lugar a un eclipse lunar total. La Luna llena coincide con el momento en que la Luna entra en la sombra de la Tierra produciéndose así un eclipse.
 El eclipse, sin embargo, no será visible en todo el planeta. En América del Sur, África y Europa Occidental no se podrá ver, mientras que en América del Norte será visible antes del amanecer del *NUMBER* de enero. En Asia, Australia, Nueva Zelanda y este de Rusia podrá verse el eclipse lunar total. Luna de sangre
 El último fenómeno astronómico que coincide este *NUMBER* de enero es la luna de sangre. Durante el transcurso del eclipse, la atmósfera de la Tierra filtrará la luz azul y verde de los rayos solares, pero dejará en cambio pasar la roja. Por eso la luna se teñirá con el reflejo del brillo rojizo que le llegará procedente de nuestra atmósfera. Por tanto, esta luna de sangre solo será visible en las partes del planeta donde se pueda ver el eclipse.",No Amarillista,Verdadera
63,https://cnnespanol.cnn.com/2016/03/04/el-vaticano-lanza-una-aplicacion-para-rezar-con-el-papa/,CNN español,El Vaticano lanza una aplicación para rezar con el papa Francisco,,"El Vaticano lanza una aplicación para rezar con el papa Francisco
 El papa Francisco se ha destacado por usar la tecnología en su papado para comunicarse con los fieles. El pontífice comenzó el *NUMBER* con su debut como video bloguero enviando mensajes a sus seguidores relacionados con los temas de sus oraciones. Ahora el Vaticano anunció que lanza una aplicación para ayudar a todos a rezar junto a Francisco.
 La finalidad de la aplicación 'Click to Pray' (Clic para rezar), es ""ayudar a los jóvenes (y a los no tan jóvenes) a rezar en comunión con el papa por sus intenciones de oración"", afirmó el Vaticano.
 La app se presentó este viernes por el Apostolado de la Oración en el evento ""*NUMBER* horas para el Señor"" en Roma.
 ""El Papa está muy contento con esta iniciativa"", le aseguró Frédéric Fornos sj, director de la Red de Oración del papa a Radio Vaticano.
 La aplicación está disponible en inglés, portugués, español y francés y es gratis para dispositivos iPhone, Android y Windows Phone.
 Al descargarla, los usuarios conocerán por qué tema, país o conflicto está rezando el papa cada día, y podrán unirse a la oración compartiendo en redes sociales el mensaje o creando una cuenta.",No Amarillista,Verdadera
64,https://cnnespanol.cnn.com/video/ciencia-nasa-noaa-golfo-mexico-espacio-magnetico-encuentro/,CNN en español,Impresionantes hallazgos en el espacio y en las aguas del golfo de México,,"Impresionantes hallazgos en el espacio y en las aguas del golfo de México
 La NASA descubrió una reconexión magnética que tendrá relevancia en futuros estudios sobre el Sol. Además, la Oficina Nacional de Administración Oceánica y Atmosférica de Estados Unidos exploró las aguas del golfo de México y descubrió nuevas especies.",Amarillista,Verdadera
65,https://elpais.com/tecnologia/2008/03/05/actualidad/1204709278_850215.html,El país,Descubren un yacimiento arqueológico gracias a Google Earth,,"Descubren un yacimiento arqueológico gracias a Google Earth
 Los descubridores se han valido de la ayuda de los mapas navegador
 Una universidad argentina ha localizado un yacimiento arqueológico con estructuras circulares de gran tamaño, utilizando el navegador gratuito de imágenes por satélite Google Earth en Internet. Se trata de una extensión de *NUMBER* hectáreas localizada en la provincia argentina de La Rioja (noroeste), donde hay al menos una docena de estructuras circulares de hasta *NUMBER* metros de diámetro, posiblemente construidas con fines rituales.
 Los descubridores del enclave, investigadores de la Universidad de La Rioja, lo encontraron consultando mapas de la provincia a través de Google Earth, para hacer un estudio sobre la red de caminos construida por los incas en la zona. Tras verlo en Internet se trasladaron al lugar y corroboraron el hallazgo, que según los arqueólogos es similar a algunos encontrados en otras regiones argentinas, pero muy especial debido a su gran tamaño.
  Los arqueólogos Claudio Revuelta y Sergio Martín, que se negaron a revelar de momento el emplazamiento exacto del yacimiento para no comprometer su conservación, explicaron que ya se han encontrado estructuras como estas en otras zonas del país. Explicaron que algunas de las edificaciones están revestidas con piedras rojas, negras y blancas formando figuras geométricas, y otras están construidas sobre plataformas y delimitadas por paredes de piedra.
 Los arqueólogos aseguran que el estudio del lugar contribuirá a esclarecer si estas construcciones eran utilizadas para sus rituales por los pueblos prehispánicos, tal como se han planteado en algunas investigaciones arqueológicas.",No Amarillista,Verdadera
66,https://www.eldizque.com/el-gobierno-de-la-ciudad-de-mexico-colocara-antenas-para-restringir-el-acceso-a-internet/,El Dizque,El Gobierno de la Ciudad de México colocará antenas para restringir el acceso a internet,,"El Gobierno de la Ciudad de México colocará antenas para restringir el acceso a internet
 ""Se ha vuelto muy difícil para los ciudadanos y para su gobierno tener una buena comunicación"", admitió esta mañana Miguel Ángel Mancera, Jefe de Gobierno de la Ciudad de México, quien anunció que su administración hará un esfuerzo para que prevalezca la civilidad, el respeto y la buena voluntad entre los habitantes.
 ""No hay buena comunicación. Yo digo una cosa y ustedes entienden otra. Ustedes me piden que haya más trabajo, pero no me especifican que no para los granaderos"", afirmó.
 El doctor Mancera reconoció que las molestias han ido creciendo, y con ello, el tono de expresión de las mismas, pues mucha gente se escuda detrás de un monitor para insultar y minimizar las acciones del gobierno local, sin importarle que sus comentarios sean leídos por otros ciudadanos, e incluso por niños, que siguen ese ejemplo y escriben improperios e insultos hacia los políticos.
 Por ello, dijo, ha tomado la decisión de instalar a lo largo de toda la ciudad, una serie de antenas que restrinjan el uso de internet.
 ""No, no estamos pensando en criminalizar a quienes sean sorprendidos realizando esta conducta, pues este gobierno está abierto a las opiniones de la gente. Tan sólo se restringirá la capacidad que tengan para entrar a las redes sociales, como Facebook, Twitter e Instragram, así como comentar cualquier noticia que se publique en sitios informativos"".
 Las antenas contarán con un software que capturará la dirección IP del usuario. ""Así, no sólo lo tendremos localizado, sino que podremos bloquear su señal para que no escriba lo que no debe, porque sin respeto no hay nada, ¿verdad?"".
 Sólo es cuestión de afinar detalles para que este programa se eche a andar en la Ciudad de México. Se espera que otros estados copien esta medida.",Amarillista,Falsa
67,https://newsweekespanol.com/2018/05/nasa-explosion-magnetica-tierra/,News Week español,La NASA descubre una extraña explosión magnética en la atmósfera de la Tierra,,"La NASA descubre una extraña explosión magnética en la atmósfera de la Tierra
 Gracias a cuatro naves espaciales de la NASA, un grupo de científicos ha descubierto un fenómeno magnético completamente nuevo en los límites más exteriores del campo magnético de la Tierra, según afirman en un nuevo estudio publicado el *NUMBER* de mayo en la revista Nature.
 Las naves forman parte de la Misión Multiescala Magnetosférica (MMS, por sus siglas en inglés), la cual ha sido ideada para estudiar lo que se conoce como reconexión magnética: un proceso físico que ocurre comúnmente en los campos magnéticos de todo el universo.
 ""Una explosión de TNT es una liberación de energía química. La explosión de una bomba atómica libera energía nuclear. La reconexión electromagnética es una 'explosión magnética'. Es decir, la liberación repentina de energía magnética"", explicó a Newsweek uno de los autores del estudio, Michael Shay, de la Universidad de Delaware. ""La reconexión magnética ocasiona estas explosiones en muchas regiones del espacio. Por ejemplo, las erupciones solares son ocasionadas por la reconexión magnética. Las grandes auroras de la Tierra se deben a las partículas energéticas que crea la reconexión magnética"".
 Jonathan Eastwood, físico de Imperial College Londres y otro autor del estudio, añadió: ""Aunque creemos que el espacio está vacío, ¡no es así! Está repleto de partículas y campos, los llamados 'plasmas espaciales'. Cuando la reconexión libera energía, crea chorros candentes de plasma"". El plasma es una forma súper caliente de gas, y uno de los cuatro estados fundamentales de la materia.
 Ahora, por primera vez, se ha observado el proceso de la reconexión magnética en una región turbulenta de la atmósfera más exterior de la Tierra, denominada envoltura magnética o magnetosheath, la cual hace las veces de primera línea de defensa contra lo que se conoce como viento solar: el torrente de partículas cargadas y calientes que genera el sol.
 Los hallazgos más recientes podrían ayudar a esclarecer la manera como estos fenómenos magnéticos afectan la atmósfera terrestre, así como a los astronautas y los satélites en el espacio, a la industria eléctrica, y a nuestros sistemas de radiocomunicaciones y de GPS.
 El nuevo tipo de reconexión magnética, llamado reconexión magnética de electrones, actúa de manera distinta que el tipo de reconexión que ocurre comúnmnete en las regiones más bajas y menos turbulentas de la magnetosfera terrestre (los campos magnéticos que rodean nuestro planeta).
 La mayoría piensa que la turbulencia son las corrientes de aire que causan que los viajes en avión sean incómodos y accidentados. Sin embargo, la turbulencia también puede ocurrir en cualquier otra parte del universo.
 ""La turbulencia se caracteriza por flujos de gas, líquido o plasma aparentemente aleatorios"", explicó Shay. ""Todos la hemos visto o experimentado. Por ejemplo, el hilo de humo de un cigarrillo se desintegra; la crema que vertimos en el café forma patrones hermosos antes de mezclarse por completo; un vuelo se vuelve accidentado cuando el avión pasa por una turbulencia en nuestra atmósfera"".
 ""Hay plasma turbulento en muchas regiones del espacio"", continuó Shay. ""Las capas más exteriores del sol son turbulentas. El viento solar que despide el sol es turbulento. Ese viento solar choca contra el campo magnético de la Tierra y crea una envoltura turbulenta de plasma [magnetosheath] en el espacio próximo al planeta"".
 La turbulencia en esa magnetosheath contiene mucha energía magnética, la cual es resultado del bombardeo de las partículas procedentes de la corona solar, que viajan a casi *NUMBER* millones de kilómetros por hora. Y es en esa región donde los científicos hicieron su descubrimiento.
 ""Hallamos que la reconexión ocurre en escalas muy pequeñas, más pequeñas de lo que jamás se había observado"", interpuso Eastwood. ""Esto es importante porque, en última instancia, la energía turbulenta debe disiparse como calor. Desde hace mucho se ha debatido cómo ocurría esto, y se han propuesto un montón de teorías. Este resultado demuestra que la reconexión podría ser la responsable"".
 Al entender mejor los procesos de turbulencia y reconexión, sabremos más sobre la manera como operan otros procesos similares en una gran diversidad de campos, y eso podría tener numerosas implicaciones.
 ""El objetivo final de nuestra investigación es entender la física, suficientemente bien, para crear modelos predictivos del clima espacial"", reveló Shay. ""Una analogía -para el caso del clima normal- es el uso generalizado de modelos atmosféricos para dirigir las predicciones meteorológicas de NOAA [Administración Nacional Oceánica y Atmosférica de Estados Unidos]. Si disponemos de modelos mejorados, podremos predecir los peligros del clima espacial días antes que ocurran, y eso permitirá implementar actividades de mitigación. Por ejemplo, una sería que los operadores satelitales podrán poner sus satélites multimillonarios en modalidad 'segura' y otra, que los planificadores militares podrán anticipar posibles interrupciones de comunicación"".
 Shay agregó: ""Además, NASA está ejerciendo presión para volver a poner a un hombre en la luna y, a la larga, para enviar una misión tripulada a Marte. Para esas misiones, nuestras naves espaciales tendrán que abandonar la burbuja protectora del campo magnético terrestre, la magnetosfera. Si no somos capaces de predecir los acontecimientos del clima espacial, pondríamos en riesgo a los astronautas"".
 ""Por ejemplo, la reconexión en turbulencia podría ser importante para crear las partículas de alta energía, las cuales pueden dañar a los astronautas. Tenemos que averiguar si es así y cuáles son sus implicaciones para el clima espacial"", concluyó Shay.",No Amarillista,Verdadera
68,https://elpais.com/tecnologia/2018/05/30/actualidad/1527667435_367117.html,El País,Pokémon Let's Go Pikachu' y 'Let's Go Eevee' llegan a Nintendo Switch,,"Pokémon Let's Go Pikachu' y 'Let's Go Eevee' llegan a Nintendo Switch
 Estas ediciones están dirigidas al público que quedó encandilado con la fórmula de 'Pokémon GO'
 Nadie esperaba que se fuesen a revelar en horas tan intempestivas, pero finalmente Pokémon: Let's Go, Pikachu! y Pokémon Let's Go, Eevee! se han presentado en una conferencia en Japón cuando el resto del mundo dormía. Nintendo Switch, la consola que está batiendo récords de ventas tras un primer año magistral, será quien reciba el próximo *NUMBER* de noviembre estos títulos, cuyo enfoque ha quedado claro después de ver su tráiler debut.
 Según ha dicho la compañía en el comunicado, estas ediciones estarán claramente dirigidas al público que quedó encandilado con la fórmula de Pokémon GO; pero también lo harán para los que crecieron con los juegos originales lanzados en *PHONE* en España, Rojo, Azul y Amarillo, en concreto este último. Y es que volvemos a la región de Kanto solo que en completas tres dimensiones. En una versión escogeremos a Pikachu, mientras que en la otra recibiremos a Eevee, la criatura que en la obra original poseía el rival de nuestro protagonista.
 El nuevo estilo artístico goza de una gran variedad tonal, gamas cromáticas muy saturadas para llamar la atención a los que hoy son niños y a los que ahora son inevitablemente adultos. Han pasado veinte años desde que visitamos Kanto, así que los desarrolladores han preferido dejar este territorio intacto: en vez de las más de *NUMBER* especies existentes a día de hoy, Pokémon: Let's Go, Pikachu! y Pokémon Let's Go, Eevee! introducirán solo los *NUMBER* originales, añadiendo personalización y más detalles en sus animaciones.
 De hecho, por primera vez en nueve años el Pokémon principal nos acompañará fuera de los combates. Y hablando de combates, se eliminan los encuentros aleatorios en la hierba alta: los enfrentamientos contra criaturas salvajes serán únicamente con los que avistemos, mientras que los combates propiamente dichos serán contra entrenadores. Esas capturas se realizarán como en Pokémon GO. En móviles teníamos que deslizar el dedo, pero ahora en Nintendo Switch habrá que deslizar el mando acoplado en la consola.
 Poké Ball Plus, el nuevo periférico
 Es importante hablar también de Poké Ball Plus, el nuevo periférico que se venderá por separado por unos *NUMBER* euros a partir del mes de noviembre. Ese gadget servirá para llevarnos con nosotros al Pokémon elegido, capturar criaturas cuando estemos caminando e incluso servir como mando gracias a su joystick y su botón superior. Al tener giroscopio, este aparato se utilizará como si fuese una Poké Ball en el mundo real, almacenando criaturas y siendo asimismo control tradicional dentro del juego durante las partidas en casa.
 Y esto no es todo: por primera vez en la franquicia, estas entregas permitirán el juego cooperativo. Es decir, dos personas en la misma consola, en la misma partida. Esta función nos permitirá compartir la experiencia y combatir conjuntamente contra otros entrenadores, aunque por desgracia se ha confirmado que no habrá modo multijugador en línea por motivos que no han trascendido.
 Toca esperar al próximo *NUMBER* de noviembre para comprobar si estos Pokémon: Let's Go, Pikachu! y Let's Go, Eevee! calarán igual de hondo que lo hizo Pokémon GO hace dos veranos o las ediciones originales en las que se basa esta nueva pareja hace veinte. Lo que parece es que Nintendo Switch está llamada a ser la consola predilecta estas navidades.",No Amarillista,Verdadera
69,http://www.muyinteresante.com.mx/medio-ambiente/perros-modificados-geneticamente-primera-vez/,Muy Interesante,Conoce a los dos perros modificados genéticamente,,"Conoce a los dos perros modificados genéticamente
 Hércules y Tiangou son dos canes creados en China y tienen el doble de masa muscular que un perro de su raza
 Hércules y Tiangou a simple vista parecen un perro y una perra beagle cualquiera, solo que un poco más musculosos. Sin embargo, sus genes no son como los de cualquier perro de su raza; ellos son los primeros caninos en el mundo en ser modificados genéticamente y fueron creados por un grupo de investigadores en China.
 Para lograr esa musculatura, los científicos eliminaron el gen que produce la miostanina, una proteína que regula el crecimiento de los músculos, y con ello lograron que esta pareja de perros tengan el doble de masa muscular que los de su raza. Esta modificación genética les ayuda a tener mayor facilidad para correr y así mejorar su capacidad para cazar y para algunas aplicaciones policiales.
 Para crearlos, los científicos introdujeron en *NUMBER* embriones una enzima llamada Cas9 y una molécula guía para eliminar el gen que produce la miostanina. De ellos solo nacieron *NUMBER* cachorros pero la interrupción de la producción de proteína únicamente hizo efecto en dos. En Tiangou fue del *NUMBER*%, mientras que en Hércules la edición genética fue incompleta, pero aún así en un futuro podrá heredar esta característica a sus descendientes.
 El método que utilizaron los científicos chinos se llama CRIPR-Cas9 y resulta barato y muy preciso. Este tipo de modificaciones ya se ha aplicado en el país asiático a otros tipos de animales como cabras, conejos, ratas y monos.
 Los investigadores planean hacer otras mutaciones genéticas pero en este caso para imitar enfermedades como el Parkinson y la distrofia muscular, y así mejorar las investigaciones sobre ellas, ya que los humanos y los perros tienen características metabólicas, fisiológicas y anatómicas muy parecidas.",No Amarillista,Verdadera
