Id,Fuente,Titular,Copete,Cuerpo,Amarillismo,Falsa
74,Max Planck Institute,Encuentran compuestos organicos complejos en el Sol,Nueva evidencia sugiere quimica inesperada,"Cientificos del Max Planck Institute han detectado compuestos organicos complejos en la atmosfera del Sol, lo que podria indicar procesos quimicos hasta ahora desconocidos.",Amarillista,Verdadera
75,Panasonic,Panasonic desarrolla bateria que carga en menos de 10 minutos,Podria revolucionar los dispositivos moviles,"Panasonic ha anunciado una nueva bateria que se carga completamente en menos de 10 minutos, prometiendo transformar la industria de la electronica movil.",Amarillista,Verdadera
76,DeepMind,DeepMind crea modelo de IA para prediccion de terremotos,Promete mejorar las alertas de desastres naturales,"DeepMind ha desarrollado un modelo de inteligencia artificial que mejora la precision en la prediccion de terremotos, utilizando aprendizaje profundo y vastos datos historicos.",Amarillista,Verdadera
77,European Space Agency,ESA estudia nuevo fenomeno de energia en el espacio,Podria alterar la comprension del universo,La Agencia Espacial Europea (ESA) ha detectado un fenomeno energetico desconocido en el espacio que podria desafiar las teorias actuales del cosmos.,Amarillista,Verdadera
78,Boston Dynamics,Boston Dynamics prueba robots que responden a emociones humanas,Nuevos avances en interaccion humano-robot,"Boston Dynamics ha presentado robots que pueden responder adecuadamente a las emociones humanas, representando un paso significativo en la robotica interactiva.",Amarillista,Verdadera
79,Carbon Engineering,Carbon Engineering logra convertir CO2 en roca en 24 horas,Nuevo metodo para combatir el cambio climatico,"Carbon Engineering ha desarrollado una tecnologia que solidifica el dioxido de carbono atmosferico en roca en solo 24 horas, ofreciendo un metodo prometedor para la captura de carbono.",Amarillista,Verdadera
80,Neuralink,Neuralink desarrolla interfaz para controlar dispositivos con la mente,Avances significativos en tecnologia cerebral,"Neuralink ha anunciado una interfaz cerebro-computadora que permite controlar dispositivos electronicos con solo pensamientos, marcando un hito en la neurotecnologia.",Amarillista,Verdadera
81,SETI Institute,SETI captura senales de radio anomalas,Posible nueva pista en la busqueda de vida extraterrestre,"El SETI Institute ha capturado senales de radio que no coinciden con patrones conocidos de fuentes naturales, lo que ha despertado interes sobre su posible origen extraterrestre.",Amarillista,Verdadera
82,Microsoft Research,Microsoft predice tendencias laborales con IA,Nueva herramienta para planificacion de carreras,Microsoft Research ha lanzado un algoritmo de IA que predice con gran precision las tendencias laborales y ayuda en la planificacion de carreras profesionales.,Amarillista,Verdadera
83,Sony,Sony introduce papel electronico regrabable,Papel digital que se puede usar repetidamente,"Sony ha presentado un nuevo tipo de papel electronico que permite escribir y borrar texto varias veces, prometiendo revolucionar como interactuamos con los medios impresos.",Amarillista,Verdadera
84,IBM,IBM anuncia avance en computacion cuantica,Nuevo chip cuantico promete superar supercomputadoras,"IBM ha revelado un nuevo chip cuantico que, segun afirman, puede realizar calculos mas alla de las capacidades de las supercomputadoras actuales, marcando un hito en la industria.",Amarillista,Verdadera
85,Google,Google desarrolla algoritmo que detecta enfermedades a traves de la voz,Tecnologia podria revolucionar el diagnostico medico,"Google ha desarrollado un nuevo algoritmo de IA que puede identificar potenciales enfermedades solo a traves del analisis de la voz de una persona, prometiendo transformar el diagnostico medico temprano.",Amarillista,Verdadera
86,SpaceX,SpaceX planea mision a Ceres en busca de agua,El objetivo es investigar posibles asentamientos humanos,"SpaceX ha anunciado planes para una mision no tripulada a Ceres, centrada en la busqueda de agua y evaluacion de su viabilidad para futuros asentamientos humanos.",Amarillista,Verdadera
87,Intel,Intel introduce memoria que aprende como el cerebro humano,Nueva tecnologia imita la neuroplasticidad,"Intel ha lanzado una nueva forma de memoria de computadora que imita la neuroplasticidad del cerebro humano, permitiendo a las maquinas aprender y adaptarse con el tiempo.",Amarillista,Verdadera
88,Amazon,Amazon patenta drones que plantan arboles,Nueva estrategia para combatir la deforestacion,"Amazon ha recibido la patente de un sistema de drones disenado para plantar arboles automaticamente, como parte de su iniciativa para combatir la deforestacion global.",Amarillista,Verdadera
89,MIT,MIT descubre material que limpia el aire,Nuevo compuesto absorbe contaminantes efectivamente,"Investigadores del MIT han desarrollado un material que puede absorber y neutralizar contaminantes del aire de manera mas efectiva que los metodos actuales, ofreciendo nuevas esperanzas para ciudades mas limpias.",Amarillista,Verdadera
90,Samsung,Samsung crea pantalla que se repara sola,Tecnologia podria eliminar la necesidad de protectores de pantalla,"Samsung ha introducido una nueva tecnologia de pantalla que puede reparar automaticamente rasgunos y grietas, extendiendo significativamente la vida util de los dispositivos moviles.",Amarillista,Verdadera
