Id,Link,Source,Titular,Copete,Cuerpo,Amarillismo,Falsa
15,https://www.facebook.com/UnicoNoticias/posts/1796461627315696,Facebook Unico Noticias,LA ONU ALERTA SOBRE MEGATERREMOTO EN MÉXICO Y EU EN LAS PROXIMAS *NUMBER* HORAS.,"La ONU emite una alerta urgente sobre la posibilidad de un megaterremoto en México y Estados Unidos en las próximas horas, instando a la población a tomar precauciones.","LA ONU ALERTA SOBRE MEGATERREMOTO EN MÉXICO Y EU EN LAS PROXIMAS *NUMBER* HORAS.
 Una noticia alarmante acaba de sacudir al mundo. El jefe del departamento de sismología del Instituto de Geofísica de la Universidad de Harvard, Clin Roberts, alertó a los gobiernos de México y Estados Unidos a prepararse sobre la llegada de un mega terremoto que afectaría a ambos países en las siguientes *NUMBER* horas.
 Esta noticia surgió a raíz de una serie de terremotos que se registraron en varias partes del mundo con una intensidad superior a los *NUMBER* grados. Países como Japón, China, las Islas Salomón, Estados Unidos y México, especialmente estos dos últimos, pues la principal actividad sísmica se dio en la peligrosa y conocida falla de San Andrés.
 Lo más preocupante de esta situación para los países de ambos lados de la frontera es que la falla, después de más de *NUMBER* años, se encuentra en su momento de mayor tensión, es por ello que Clin Roberts ha advertido a todas las dependencias gubernamentales acerca de este desastroso fenómeno.
 El mencionado ¨Big One¨ (el grande) podría hacerse presente después de más de *NUMBER* años de muchísima actividad sísmica en esta zona. Incluso el prestigioso investigador de fenómenos sísmicos de la ONU (Organización de las Naciones Unidas), Han Boseph, ha confirmado esta alerta e hizo un llamado internacional para que la comunidad permanezca unida ante la inminente llegada de un poderoso desastre natural.
 De momento lo único que se sabe es que las autoridades mexicanas y estadounidenses se encuentran trabajando en conjunto en un operativo de prevención y así poder salvar muchas vidas, y ante tal riesgo, el Sistema Nacional de Protección Civil ha emitido un comunicado con las siguientes recomendaciones.",Amarillista,Falsa
16,https://www.eldizque.com/descubren-que-los-taxis-de-la-ciudad-de-mexico-no-utilizan-gasolina/,El Dizque,Descubren que los taxis de la Ciudad de México no utilizan gasolina,"Una investigación revela que los taxis de la Ciudad de México están funcionando sin gasolina, generando un debate sobre las fuentes de energía alternativas en el transorte público.","Descubren que los taxis de la Ciudad de México no utilizan gasolina
 Se acerca un nuevo aumento en las tarifas del transporte público en la Ciudad de México, y de acuerdo a la Secretaría de Movilidad (Semovi), éste se debe a que los concesionarios y permisionarios del servicio de transporte público han solicitado el ajuste en virtud a los incrementos que han tenido las gasolinas.
 Llamó la atención de expertos en la materia de combustibles el hecho de que los taxis están excluidos, por lo que rápidamente comenzaron a investigar y descubrieron que ningún taxi usa gasolina.
 ""Esto viene a destapar una mafia oculta pues siempre habíamos pensado que los taxis necesitaban este combustible para funcionar"", declaró el profesor Pánfilo Solomillo, catedrático de la Universidad de Caguama, California. ""Sin embargo no es así, por lo que cuando vemos un taxi en una gasolinería, si no están cargando gasolina, ¿qué estarán haciendo?""
 El profesor dijo que su equipo aún no puede precisar qué combustible usan los taxis, pero de lo que están seguros es de que no es gasolina.
 ""¿Qué oculta el gobierno de la Ciudad de México? ¿Qué ocultas, Mancera? ¡Dinos, maldita sea! ¿Dónde quedó la cadenita de Carmen? ¿Por qué nadie sabía esto? Los taxis no usan gasolina, por lo tanto, no pueden ser beneficiados por este próximo aumento a la tarifa, quizás por eso renegaban tanto de la entrada de Uber a la ciudad, porque podrían quedar al descubierto más cosas, cosas que, quizás, marquen un cambio en la historia del país"".
 Si bien el equipo del profesor Solomillo no ha logrado establecer cuál es el combustible utilizado por los taxis, piensa que algo tienen que ver las botellas de Coca-Cola que tiran en las madrugadas llenas de un líquido amarillo. ""Trataremos de obtener una de ellas para hacer el análisis pertinente, y eso quizá nos permita conocer la verdad. Y la verdad nos hará libres"".",Amarillista,Falsa
17,https://elpais.com/economia/2018/05/10/actualidad/1525964076_530918.html,El país,California obliga a poner paneles solares en las casas nuevas,"En un esfuerzo por fomentar la energía limpia, California implementa una nueva ley que obliga a instalar paneles solares en todas las nuevas construcciones residenciales","California obliga a poner paneles solares en las casas nuevas
 La medida entrará en vigor en *NUMBER* y solo deja exentos a los edificios más altos
 Todas las casas nuevas que se construyan en California a partir de *NUMBER* deberán contar con paneles solares en el tejado. La decisión, aprobada este miércoles, supone uno de los impulsos más visibles al uso de las energías limpias y de mayor impacto en el día a día de los ciudadanos en un estado que ha hecho de la lucha contra el cambio climático una prioridad absoluta. California es el primer estado en adoptar esta medida.
 La Comisión de Energía de California aprobó la medida por unanimidad de sus cinco miembros. ""Somos los primeros pero no seremos los últimos"" dijo el comisionado David Hochschild tras la votación. La medida no requiere aprobación del Legislativo. Afecta a todas las casas unifamiliares o de varias unidades que tengan menos de tres pisos y obtengan su permiso de construcción después del *NUMBER* de enero de *NUMBER*. No afecta a edificios más altos, donde no hay sitio para la instalación solar necesaria para abastecer a todos los vecinos, ni a obras de remodelación. El *NUMBER*% de la construcción nueva actual tiene paneles solares.
 Dar ejemplo tiene un coste. La propia comisión calcula que la exigencia de paneles solares añadirá una media de *NUMBER* dólares a cualquier construcción nueva y un aumento en unos *NUMBER* dólares al mes en una hipoteca a *NUMBER* años. Al mismo tiempo, calcula que durante ese tiempo el usuario ahorrará *NUMBER* dólares al mes en las facturas de la luz en un estado donde no se concibe la vida sin aire acondicionado.
 Añadir costes a la vivienda puede tener consecuencias en un estado que padece una angustiosa crisis de falta de vivienda. El precio medio de una casa en el sur de California ha llegado ya a *NUMBER* dólares, según la consultora CoreLogic. La vivienda está más cara que en lo más alto de la burbuja de *NUMBER*. Según datos de los agentes inmobiliarios, solo el *NUMBER*% de las familias del sur de California pueden permitirse comprar una vivienda de segunda mano. En *NUMBER*, era el *NUMBER*%. La carestía de vivienda es el principal factor detrás de la pérdida de poder de compra de la clase media y de la crisis sin precedentes de personas sin hogar en las calles de las grandes ciudades californianas.
 El argumento de los reguladores es que los ahorros a largo plazo en la luz compensarán el coste inicial de la vivienda. Es decir, que el comprador puede estar seguro de que esos *NUMBER* dólares más que tiene que poner para comprarse una casa serán recuperados con la mayor eficiencia.
 En la época de Arnold Schwarzenegger, California se impuso a sí misma el plan de reducción de emisiones de gases de efecto invernadero más ambicioso de Estados Unidos. El plan, reforzado por el actual Gobierno demócrata con apoyo republicano, tiene el objetivo global de reducir las emisiones para *NUMBER* un *NUMBER*% por debajo de las de *NUMBER* y lograr para esa fecha que el *NUMBER*% de su energía proceda de fuentes renovables.
 La Comisión de Energía calcula que el ahorro en emisiones por esta medida será de *NUMBER* toneladas en tres años, equivalente a quitar *NUMBER* vehículos de gasolina de las calles, según la argumentación que publicó junto con el voto el miércoles. Las medidas adoptadas también incluyen nuevos requisitos de ventilación y aislamiento de las casas para mejorar el consumo de energía. En total, las casas construidas con el nuevo código serán un *NUMBER*% más eficientes que las construidas con el código actual (de *NUMBER*) y los edificios no residenciales utilizarán un *NUMBER*% menos de energía.
 ""Bajo estos nuevos estándares, los edificios funcionarán mejor que nunca, al mismo tiempo que contribuyen a una red (eléctrica) fiable,"" dijo el comisionado Andrew McAllister en un comunicado. El organismo estatal calcula que las casas nuevas consumirán un *NUMBER*% menos de energía que las antiguas con el nuevo código energético. ""Los edificios en los que los californianos compran y viven funcionarán muy eficientemente mientras generan su propia energía limpia. Les costará menos operar, tendrán aire interior saludable y proporcionan una plataforma para tecnologías inteligentes que impulsarán al estado aún más por el camino hacia un futuro de bajas emisiones.""",No Amarillista,Verdadera
18,https://www.eldizque.com/facebook-ya-no-recibira-mas-avisos-de-privacidad-se-les-advirtio-con-tiempo/,El Dizque,"Facebook ya no recibirá más avisos de privacidad: ""Se les advirtió con tiempo""","Facebook anuncia que dejará de recibir avisos de privacidad de los usuarios, citando que se les advirtió con suficiente antelación sobre los cambios en sus políticas","Facebook ya no recibirá más avisos de privacidad: ""Se les advirtió con tiempo""
 Ante la verdadera avalancha de mensajes que están llenando Facebook, en donde ciudadanos responsables están protegiendo la confidencialidad de todo el material que están publicando, de acuerdo a lo dado a conocer por Canal *NUMBER*, Mark Zuckerberg, mandamás de la red social, salió de su reclusión, para hacer las primeras declaraciones al respecto.
 ""Primero que nada —dijo—debo de agradecer a todos los usuarios responsables que publicaron el post en donde anunciaban la confidencialidad de sus datos, pero debo de decir también que no esperábamos una cantidad tan grande de anuncios de confidencialidad. Por lo tanto, nos vemos en la penosa necesidad de anunciar lo siguiente: A partir de hoy, a las *NUMBER*:*NUMBER* pm, tiempo del Pacífico, ningún otro de estos comunicados de confidencialidad publicados en las biografías de los usuarios de Facebook tendrá validez, y si no lo hicieron en su momento, ya no podemos responder por el uso que se le dé a su material a perpetuidad en todo el universo. Y aquí nadie podrá discutir: Se les avisó con tiempo, y no hicieron nada. Creo que podemos decir, sin miedo, que hicimos nuestra parte"".
 Zuckerberg agregó que ya no tiene caso publicar el anuncio de protección, por lo que Facebook podrá vender su contenido a cualquier publicación que considere pertinente, y sin obligación de compartir derechos de autor. ""Se les avisó, pero nunca hacen caso. No mamen"", remató, antes de dar por cerrada la conferencia.",No Amarillista,Falsa
19,http://www.eluniversal.com.mx/ciencia-y-salud/ciencia/la-nasa-te-invita-recorrer-la-luna-desde-tu-casa,El Universal,La NASA te invita a recorrer la Luna desde tu casa,"La NASA lanza una nueva experiencia virtual que permite a los usuarios explorar la superficie lunar desde la comodidad de sus hogares, utilizando tecnología de últim generación.","La NASA te invita a recorrer la Luna desde tu casa
 Los últimos datos recopilados por LRO integran el ""Tour de la Luna"" que te lleva por un recorrido virtual de nuestro satélite natural
 El Lunar Reconnaissance Orbiter, de la NASA, ha recopilado datos sobre la topografía lunar. El Lunar Reconnaissance Orbiter, también conocido como LRO, de la NASA, ha recopilado datos sobre la topografía lunar, la temperatura, los recursos, la radiación solar y la geología desde su lanzamiento hace nueve años. Los últimos datos recopilador por LRO está en resolución 4K e integran el ""Tour de la Luna"" que te lleva por un recorrido virtual de nuestro satélite natural.
 La primera parada de este recorrido es en la Cuenca Oriental ubicada en el borde del lado cercano occidental. Es del tamaño de Texas y es la estructura de impacto mejor conservada en la Luna. Los datos topográficos del LRO combinados con las mediciones de gravedad de la nave gemela GRAIL revelan la estructura debajo de la superficie y nos ayudan a comprender las consecuencias geológicas de los grandes impactos.
 A diferencia de la Tierra, el eje de la Luna apenas se inclina en relación con el Sol. Esto significa que hay cráteres en los polos donde la luz del Sol nunca llega, llamados regiones permanentemente sombreadas. Como dato, el Polo Sur de la Luna tiene algunos de los lugares más fríos medidos en el Aistema Solar, unos *NUMBER* grados F.
 Debido a que estos cráteres son tan fríos y oscuros, el agua que encuentra su camino en ellos nunca tiene la oportunidad de evaporarse. Varios de los instrumentos en LRO han encontrado evidencia de hielo de agua, que se puede ver en los puntos resaltados en esta visualización.
 Por otro lado, South Pole-Aitken Basin es la estructura de impacto más grande, más profunda y más antigua observada de la Luna. Su diámetro es de aproximadamente *NUMBER* mil *NUMBER* km de ancho y ocupa una cuarta parte de la Luna. Esta zona es la mejor opción para un lugar de aterrizaje en el otro lado de la Luna.
 Ahora vayamos al lado más cercano. Tycho Crater tiene *NUMBER* millones de años de juventud. Sí, eso es joven en el tiempo geológico. El pico central del cráter de impacto probablemente se formó a partir de material que rebotó de nuevo después de haber sido comprimido en el impacto, casi como un resorte.
 También prominente en el lado cercano es la meseta de Aristarchus. Presenta un cráter tan brillante que puedes verlo a simple vista desde la Tierra. La meseta de Aristarchus es particularmente interesante para los científicos porque revela gran parte de la historia volcánica de la Luna. La región está cubierta de rocas de erupciones volcánicas y la gran estructura similar a un río es en realidad un canal hecho de un flujo de lava hace mucho tiempo.
 Por mucho que estudiemos la Luna en busca de sitios para visitar, también miramos hacia atrás en los lugares que ya hemos visitado. Esto se debe a que los nuevos datos que LRO está reuniendo nos ayudan a reinterpretar la geología de los lugares familiares, lo que brinda a los científicos una mejor comprensión de la secuencia de eventos en la historia lunar temprana.
 Ahora sigue el sitio de aterrizaje del Apolo *NUMBER* en el valle de Taurus-Littrow, que es más profundo que el Gran Cañón. La cámara LRO incluso puede capturar una vista de la mitad inferior del Apolo *NUMBER* Lunar Lander, que todavía se encuentra en la superficie, así como también del vehículo móvil.
 Finalmente, llegamos al Polo Norte. Al igual que el Polo Sur, hay áreas que están en la sombra permanente y otras que disfrutan de una luz casi perpetua. Los científicos de LRO han tomado medidas detalladas de brillo y terreno del Polo Norte para modelar estas áreas de luz solar y sombra a través del tiempo. Los picos iluminados por el sol y los cráteres aquí pueden ser ubicaciones ideales para generar energía solar para futuras expediciones a la Luna.
 LRO fue diseñado como una misión de un año. Ahora en su noveno año, la nave espacial y los datos enfatizan el poder de la recopilación de datos a largo plazo. Gracias a sus muchas órbitas alrededor de la Luna, han podido expandir la ciencia lunar desde las misiones Apolo mientras preparan el terreno para la futura exploración lunar.",No Amarillista,Verdadera
20,http://www.bbcmundo.com/mundo/noticias-41240270,BBC,El misterioso ADN descubierto en una cueva bajo el hielo de Antártica,"Científicos descubren ADN misterioso en una cueva bajo el hielo de la Antártica, un hallazgo que podría revelar secretos antiguos y cambiar nuestra comprensión de la biología poar.","El misterioso ADN descubierto en una cueva bajo el hielo de Antártica
 Bajo un denso manto de hielo, en las profundidades del continente antártico, podría haber plantas y animales viviendo el clima cálido de las cuevas subterráneas.
 Esto es lo que propone un equipo internacional de científicos que investigaron un extenso sistema de cuevas subterráneas alrededor del Monte Erebus, el segundo volcán activo de Antártica, en la isla de Ross.
 Las muestras de suelo recogidas en las cuevas revelaron rastros de ADN de algas, musgos y pequeños animales.
 Según explicó Ceridwen Fraser, investigadora de la Universidad Nacional de Australia (ANU), en Canberra, y coautora del estudio, la mayoría de las muestras se parecen a la de plantas y animales del resto de Antártica.
 Sin embargo, algunas secuencias no pudieron ser identificadas, con lo cual una investigación más completa podría revelar especies que aún no han sido descubiertas.
 Ambiente cálido
 ""Dentro de las cuevas puede estar muy cálido (hasta *NUMBER*º en algunas cuevas). Puedes estar en camiseta y sentirte cómodo"", afirmó Fraser.
 Según la investigadora, las muestras son evidencia de que potencialmente hay plantas y animales vivos en las cuevas.
 ""Pero no los hemos visto y por lo tanto no podemos estar seguros"", le dijo la investigadora a medios australianos.
 Todo indica ""que puede haber comunidades enteras de plantas y animales que no conocemos viviendo bajo el hielo"", añadió.
 Craig Cary, investigador de la Universidad de Waikato en Nueva Zelanda y coautor del estudio, señaló que investigaciones previas habían descubierto una serie de bacterias y hongos en los volcanes antárticos.
 ""Los hallazgos de este nuevo estudio indican que puede haber plantas y animales más complejos también"".
 Derechos de autor de la imagen ReutersImage caption La mayoría de los restos de ADN pertenecen a especies de animales de la Antártica, pero otros no pudieron ser identificados.
 Los investigadores deberán ahora confirmar si están o no en las cuevas.
 ""Los próximos pasos consistirán en mirar en más detalle las cuevas y buscar organismos vivos. Si existen, abren la puerta a un mundo nuevo y emocionante"", afirmó Laurie Connell, coautora del estudio de la Universidad de Maine. Walmart enfrenta una polémica por la venta de mercancía con los mensajes ""Impeach *NUMBER*"" e ""Impeach Trump"", frases que promueven el juicio político contra Donald Trump, presidente de Estados Unidos. Simpatizantes del mandatario número *NUMBER* de EE.UU. han llamado a boicotear la cadena de supermercados, aunque en ella también ofrecen mercancía con la popular frase presidencial ""Make America Great Again"".",Amarillista,Verdadera
21,http://www.eluniversal.com.mx/techbit/lanzan-primera-version-de-android-p,El Universal,Lanzan primera versión de Android P,"Google presenta la primera versión de Android P, su sistema operativo móvil más reciente, con nuevas funciones y mejoras en la experiencia del usuario","Lanzan primera versión de Android P
 Google lanza la primera versión Developer Preview de Android P con importantes novedades
 De momento, la característica que será más interesante para los usuarios es la mejora de las notificaciones de mensajes
 El buscador Google liberó este miércoles el primer vistazo a la próxima versión de Android. Por ello, a partir de hoy, los desarrolladores pueden descargar la primera versión de Android P a Pixel y Pixel XL del año pasado, así como los nuevos Pixel *NUMBER* y Pixel *NUMBER* XL.
 De acuerdo al portal Engadget, debido a que es una versión preliminar para desarrolladores, aún no hay mucha información acerca de las características orientadas al consumidor, no obstante, se sabe que hay una gran cantidad de detalles sobre qué nuevas características y desarrolladores de tecnologías podrán aprovechar en sus aplicaciones cuando la próxima versión de Android esté disponible.
 De momento, la característica que será más interesante para los usuarios es la mejora de las notificaciones de mensajes: Google hizo que las notificaciones renovadas fueran una prioridad el año pasado, y Android P traerá más de sus conversaciones al tono de notificación.
 Como muestran algunas capturas de pantalla, las aplicaciones de mensajería pueden incluir varias líneas de una conversación junto con las respuestas inteligentes de Google en el tono de notificación, lo que hace que las respuestas sean más rápidas, al tiempo que incluye más contexto conversacional.
 También se ha dado soporte a nuevos códecs (formatos de archivos) de imágenes y video, a una mejor gestión de las cámaras duales.
 Asimismo, como se comentó hace unos días, esta versión cuenta con soporte para dispositivos con ""notch"", (marco de aluminio situado en la parte superior del dispositivo y que está incrustado en la pantalla OLED y que en los equipos Apple incorpora el TrueDepth de reconocimiento facial y la cámara FaceTime), por lo que los usuarios podrán ver la pantalla completa, sin que esa pequeña pestaña superior afecte la visibilidad de las notificaciones.",No Amarillista,Verdadera
22,https://elpais.com/tecnologia/2017/08/08/actualidad/1502216186_647020.html,El país,¿El empleado biónico?,"La era del empleado biónico podría estar más cerca de lo que pensamos, con avances en la tecnología que prometen mejorar las capacidades humanas en ellugar de trabajo.","¿El empleado biónico?
 Una empresa ha empezado a implantar chips debajo de la piel de sus trabajadores para identificarlos y reabre el debate sobre la privacidad en la era digital
 La misma tecnología que se usa para pagar con el móvil puede abrir la puerta del garaje de casa, activar la música o encender la luz. Hace tiempo que Sony emplea esta técnica en las presentaciones de sus teléfonos. Una demostración de cómo el chip NFC (near field communication, comunicación por proximidad) puede activar órdenes sencillas. El chip, con su respectivo sensor emisor y receptor, siempre va dentro del aparato, ya sea un móvil o un reloj inteligente. Al acercarse al terminal de pago, una puerta, el interruptor o el sitio donde se encuentre el sensor programado para recibir la orden, ejecuta una acción.
 Esta semana, *NUMBER* de los *NUMBER* empleados de The Square Market, una empresa tecnológica de Wisconsin, se han sumado al experimento de colocarse un chip de este tipo bajo la piel para moverse en su entorno de trabajo sin poner una clave, sin sacar una tarjeta de identificación, sin llaves… Escondido entre el pulgar y el índice de la mano llevan un pequeño trozo de ingeniería del tamaño de un grano de arroz. El programa —realizado en asociación con la empresa fabricante del chip, la sueca Biohax International— es el primero que se pone a prueba en EE UU. La FDA, organismo que regula medicamentos y aparatos médicos, lo aprobó en *NUMBER*, pero nadie había dado el paso. En Europa ya se utiliza desde hace unos meses en la firma sueca Epicenter.
 ¿Con este chip nos controlarán más? Depende. Si quisieran las empresas ya podrían ejercer este control sin necesidad de traspasar la piel. Con los sofisticados sistemas de cámaras y software de reconocimiento facial se puede tener un patrón bastante claro del recorrido de un empleado y saber si un día se sale de la norma. También existen los beacons, unos sensores diminutos que actúan como un faro emitiendo señales, y comunicándose con diferentes aparatos. Están instalados en centros comerciales —para enviar ofertas a los clientes potenciales—, en las máquinas expendedoras de bebidas y en las paradas de autobús de la zona financiera de San Francisco.
 Google ya lo usa, sin traspasar la piel. Tanto en su sede como en sus conferencias. Hace dos años, al término del evento en el que presentó sus líneas de futuro, la empresa compartió datos generales de comportamiento de los asistentes durante los tres días que había durado el encuentro. Se pudo saber cuánta comida se había consumido, la cantidad de visitas al baño, la media de pasos y escaleras subidas de manera colectiva, por países, edades y sexo. Y sí, también mostraban las estadísticas personales, pero solo a cada uno. Al apuntarse al evento, además de pagar *NUMBER* dólares, se daba consentimiento para el análisis de datos de movimiento por el recinto.
 ¿Tomarán este ejemplo del chip más empresas? No es fácil. Además de permisos adicionales, es caro y hace falta un chip con su correspondiente implantación. ¿Para qué incrustar nada cuando ya se lleva de serie una cara, dos ojos y huellas dactilares? No es casualidad que los bancos comiencen a utilizar los selfies como fórmula de verificación del dueño de una cuenta desde el móvil. O que el próximo iPhone vaya a desbloquearse cuando sepa que tiene delante a su legítimo propietario.",No Amarillista,Verdadera
23,http://lavozpopular.com/las-novedades-de-android-kit-kat/,La voz popular,LAS NOVEDADES DE ANDROID KIT KAT ES QUE SE PODRÁ COMER,Android Kit Kat sorprende con una característica inusual: un diseño comestible que combina tecnología y sabor en una experiencia única para los usuarios,"LAS NOVEDADES DE ANDROID KIT KAT ES QUE SE PODRÁ COMER
 Android Kit Kat llega plagado de novedades . La actualización del sistema operativo de Google para teléfonos móviles ha decidido dar un nuevo paso en lo que a tecnología se refiere, adentrándose en un nuevo mundo de posibilidades. Y es que la más destacada de las novedades de Android Kit Kat será que se podrá comer.
 Todo responde a una estrategia de márketing puesta en marcha por la compañía Google, desarrolladora de la actualización Android Kit Kat, para recaudar más dinero.
 ""Ahora hacemos juegos en los móviles y baterías integradas, para que juegues hasta abrasar tu jodida batería y tengas que venir corriendo y llorando a nuestro servicio técnico para que te la reparemos, puedas dejar de lamentarte y te clavemos. Sí, fácil y rápido. Ris-Ras por detrás."" informaba el portavoz de Google en la presentación de Android Kit Kat y todas sus novedades. ""Imagínate que ahora puedes comerte tu Android Kit Kat. La gente lo sabrá. Sabrá que si se comen su teléfono móvil les sacaremos hasta su último céntimo cuando quieran uno nuevo. Y aún así lo harán. ¿No es fantástico?"" sentenciaba finalmente.
 Android Kit Kat incorpora además otras novedades como la posibilidad de que los teléfonos móviles exploten si intentas piratearlos, así como nuevo material de tetas y culos en la galería de fotos, unas melodías que parecen las predeterminadas del primer teléfono móvil de la historia y un montón de mierdas inservibles más.
 ¿A qué esperas para comerte tu Android Kit Kat con todas sus novedades? Google ya espera tu dinero.",Amarillista,Falsa
24,https://www.eldizque.com/facebook-poseera-las-almas-de-sus-usuarios-partir-de-2015/,El Dizque,Facebook poseerá las almas de sus usuarios a partir de *NUMBER*,"En una declaración sorprendente, Facebook anuncia que comenzará a poseer las almas de sus usuarios a partir de una fecha específica, generando controveria y preocupación.","Facebook poseerá las almas de sus usuarios a partir de *NUMBER*
 Entre las notificaciones que usuarios de Facebook han recibido en las últimas semanas, se encuentra una que indica que de seguir usando la red social, se acepta la actualización de las políticas de esta.
 El texto que cita:
 ""Al usar nuestros servicios a partir del *NUMBER*° de enero, aceptas las actualizaciones de nuestras condiciones, política de datos y política de cookies y, además, aceptas ver anuncios mejorados según las aplicaciones y los sitios que usas. Obtén más información sobre estas actualizaciones y cómo controlar los anuncios que ves""
 Con esto, el temor más grande de los usuarios, es que sus imágenes sean usadas para vender Coca-Cola, o que los profundos pensamientos que publican en su muro, se recopilen en un libro de autoayuda autoría de Yordy Rosado.
 Sin embargo ningún usuario está enterado que dentro de las nuevas políticas de Facebook, se encuentra que el usuario entregará su alma a los dueños de Facebook, y que estos a su vez se la obsequien a su dios, Cthulhu, con el fin de despertarlo de su letargo.
 Con el anunciado cambio de políticas de privacidad por parte de Facebook, muchos usuarios intentan proteger su privacidad mediante la publicación de un mensajito en sus respectivos muros. Pero esta acción no tiene ninguna validez oficial, pues carece de reconocimiento por parte de alguna institución gubernamental. Y no los librará del caos primordial del despertar de Cthulhu.",Amarillista,Falsa
